episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,time,reward_env_total
33000,16500,1650000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,4.70,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,2.20e+00,2.20e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-1009,2.60e+00
34000,17000,1700000,0.00e+00,0.00e+00,2.00e-01,2.00e-01,1.50,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.20e+00,1.20e+00,1.10,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-823,1.40e+00
35000,17500,1750000,0.00e+00,0.00e+00,3.00e-01,3.00e-01,3.30,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.50e+00,1.50e+00,0.90,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-636,1.80e+00
36000,18000,1800000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,2.20,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.00e+00,1.00e+00,1.10,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-450,1.40e+00
37000,18500,1850000,0.00e+00,0.00e+00,5.00e-01,5.00e-01,1.80,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,8.00e-01,8.00e-01,1.40,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-263,1.30e+00
38000,19000,1900000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,1.90,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,9.00e-01,9.00e-01,0.10,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-77,1.30e+00
39000,19500,1950000,0.00e+00,0.00e+00,8.00e-01,8.00e-01,3.60,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.70e+00,1.70e+00,0.90,0.00e+00,0.00e+00,0.00e+00,1.00e+00,109,2.50e+00
40000,20000,2000000,0.00e+00,0.00e+00,3.00e-01,3.00e-01,1.80,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.40e+00,1.40e+00,0.50,0.00e+00,0.00e+00,0.00e+00,1.00e+00,296,1.70e+00
41000,20500,2050000,0.00e+00,0.00e+00,9.00e-01,9.00e-01,2.40,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.40e+00,1.40e+00,1.90,0.00e+00,0.00e+00,0.00e+00,1.00e+00,483,2.30e+00
42000,21000,2100000,0.00e+00,0.00e+00,6.00e-01,6.00e-01,2.80,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.10e+00,1.10e+00,0.70,0.00e+00,0.00e+00,0.00e+00,1.00e+00,669,1.70e+00
43000,21500,2150000,0.00e+00,0.00e+00,6.00e-01,6.00e-01,2.90,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.30e+00,1.30e+00,0.70,0.00e+00,0.00e+00,0.00e+00,1.00e+00,856,1.90e+00
44000,22000,2200000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,3.70,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,2.30e+00,2.30e+00,1.10,0.00e+00,0.00e+00,0.00e+00,1.00e+00,1043,2.70e+00
45000,22500,2250000,0.00e+00,0.00e+00,1.30e+00,1.30e+00,3.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.30e+00,1.30e+00,1.60,0.00e+00,0.00e+00,0.00e+00,1.00e+00,1230,2.60e+00
46000,23000,2300000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,2.80,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.60e+00,1.60e+00,1.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,1417,2.00e+00
47000,23500,2350000,0.00e+00,0.00e+00,6.00e-01,6.00e-01,2.40,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.90e+00,1.90e+00,1.80,0.00e+00,0.00e+00,0.00e+00,1.00e+00,1604,2.50e+00
48000,24000,2400000,0.00e+00,0.00e+00,7.00e-01,7.00e-01,1.70,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.00e+00,1.00e+00,2.20,0.00e+00,0.00e+00,0.00e+00,1.00e+00,1791,1.70e+00
49000,24500,2450000,0.00e+00,0.00e+00,1.10e+00,1.10e+00,1.50,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,8.00e-01,8.00e-01,2.40,0.00e+00,0.00e+00,0.00e+00,1.00e+00,1978,1.90e+00
50000,25000,2500000,0.00e+00,0.00e+00,2.80e+00,2.80e+00,2.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.40e+00,1.40e+00,6.80,0.00e+00,0.00e+00,0.00e+00,1.00e+00,2165,4.20e+00
