episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
28000,14000,1400000,5.43e-07,5.69e-14,4.00e-01,4.00e-01,3.10,9.96e-15,1.48e-14,3.39e-15,1.00e+00,2.34e-09,3.18e-07,5.00e-01,5.00e-01,0.30,3.31e-09,4.68e-08,7.01e-10,1.00e+00,8.74e-17,2.27e-07,1.00e+00,1.00e+00,0.10,1.71e-09,4.38e-08,2.28e-10,1.00e+00,13165,1.90e+00
29000,14500,1450000,3.89e-07,5.61e-14,4.00e-01,4.00e-01,1.40,8.41e-15,1.44e-14,3.73e-16,1.00e+00,2.43e-09,2.30e-07,2.00e-01,2.00e-01,0.40,9.19e-09,3.83e-08,6.71e-10,1.00e+00,8.82e-17,1.61e-07,1.20e+00,1.20e+00,0.00,0.00e+00,3.40e-08,0.00e+00,1.00e+00,13632,1.80e+00
30000,15000,1500000,3.03e-07,5.21e-14,5.00e-01,5.00e-01,1.30,8.43e-15,7.58e-15,2.82e-15,1.00e+00,2.34e-09,1.74e-07,8.00e-01,8.00e-01,0.80,7.00e-09,3.19e-08,1.78e-09,1.00e+00,8.00e-17,1.31e-07,7.00e-01,7.00e-01,0.40,4.73e-09,2.91e-08,1.40e-09,1.00e+00,14098,2.00e+00
31000,15500,1550000,2.28e-07,5.43e-14,3.00e-01,3.00e-01,1.40,4.62e-15,1.49e-14,1.08e-15,1.00e+00,2.25e-09,1.25e-07,5.00e-01,5.00e-01,0.30,1.05e-09,2.20e-08,2.98e-10,1.00e+00,8.39e-17,1.05e-07,1.00e+00,1.00e+00,0.00,0.00e+00,2.03e-08,0.00e+00,1.00e+00,14565,1.80e+00
32000,16000,1600000,2.45e-07,6.07e-14,4.00e-01,4.00e-01,3.20,1.37e-14,1.24e-14,4.14e-15,1.00e+00,2.62e-09,1.32e-07,1.80e+00,1.80e+00,0.40,2.17e-09,1.65e-08,9.87e-10,1.00e+00,7.07e-17,1.16e-07,6.00e-01,6.00e-01,0.00,3.46e-09,2.24e-08,0.00e+00,1.00e+00,15031,2.80e+00
33000,16500,1650000,1.67e-07,6.41e-14,5.00e-01,5.00e-01,3.20,1.53e-14,9.34e-15,5.98e-16,1.00e+00,2.61e-09,9.27e-08,8.00e-01,8.00e-01,1.50,5.11e-09,1.74e-08,1.01e-09,1.00e+00,8.56e-17,7.71e-08,1.50e+00,1.50e+00,0.00,1.32e-10,1.93e-08,0.00e+00,1.00e+00,15498,2.80e+00
34000,17000,1700000,1.83e-07,5.58e-14,3.00e-01,3.00e-01,1.40,1.56e-14,1.91e-14,3.76e-15,1.00e+00,2.33e-09,9.96e-08,6.00e-01,6.00e-01,0.10,5.99e-10,1.87e-08,1.75e-10,1.00e+00,7.73e-17,8.55e-08,7.00e-01,7.00e-01,0.00,0.00e+00,1.86e-08,0.00e+00,1.00e+00,15965,1.60e+00
35000,17500,1750000,1.22e-07,3.23e-14,3.00e-01,3.00e-01,4.90,9.06e-15,6.48e-15,1.62e-15,1.00e+00,1.71e-09,6.95e-08,1.20e+00,1.20e+00,0.50,5.60e-09,1.18e-08,5.64e-10,1.00e+00,7.99e-17,5.45e-08,1.70e+00,1.70e+00,0.00,0.00e+00,1.24e-08,0.00e+00,1.00e+00,16433,3.20e+00
36000,18000,1800000,7.76e-08,5.75e-14,5.00e-01,5.00e-01,2.90,1.04e-14,1.19e-14,1.10e-15,1.00e+00,2.44e-09,4.39e-08,1.20e+00,1.20e+00,0.10,3.99e-10,6.43e-09,8.79e-11,1.00e+00,6.82e-17,3.61e-08,8.00e-01,8.00e-01,0.00,0.00e+00,6.96e-09,0.00e+00,1.00e+00,16898,2.50e+00
37000,18500,1850000,8.88e-08,4.27e-14,3.00e-01,3.00e-01,1.70,6.75e-15,8.11e-15,5.63e-16,1.00e+00,1.99e-09,5.02e-08,1.30e+00,1.30e+00,0.40,1.51e-09,5.05e-09,2.25e-10,1.00e+00,7.33e-17,4.06e-08,7.00e-01,7.00e-01,0.00,0.00e+00,8.92e-09,0.00e+00,1.00e+00,17365,2.30e+00
