episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
33000,16500,1650000,0.00e+00,0.00e+00,2.50e+00,2.50e+00,15.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.50e+00,2.50e+00,0.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.50e+00,2.50e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,9782,7.50e+00
34000,17000,1700000,0.00e+00,0.00e+00,1.97e+00,1.97e+00,15.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.97e+00,1.97e+00,0.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.97e+00,1.97e+00,0.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,10079,5.90e+00
35000,17500,1750000,0.00e+00,0.00e+00,1.47e+00,1.47e+00,17.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.47e+00,1.47e+00,0.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.47e+00,1.47e+00,0.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,10375,4.40e+00
36000,18000,1800000,0.00e+00,0.00e+00,1.47e+00,1.47e+00,14.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.47e+00,1.47e+00,1.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.47e+00,1.47e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,10668,4.40e+00
37000,18500,1850000,0.00e+00,0.00e+00,1.73e+00,1.73e+00,13.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.73e+00,1.73e+00,0.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.73e+00,1.73e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,10961,5.20e+00
38000,19000,1900000,0.00e+00,0.00e+00,2.20e+00,2.20e+00,17.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.20e+00,2.20e+00,0.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.20e+00,2.20e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,11254,6.60e+00
39000,19500,1950000,0.00e+00,0.00e+00,1.70e+00,1.70e+00,18.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.70e+00,1.70e+00,3.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.70e+00,1.70e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,11558,5.10e+00
40000,20000,2000000,0.00e+00,0.00e+00,2.07e+00,2.07e+00,17.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.07e+00,2.07e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.07e+00,2.07e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,11851,6.20e+00
41000,20500,2050000,0.00e+00,0.00e+00,1.80e+00,1.80e+00,16.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.80e+00,1.80e+00,1.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.80e+00,1.80e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,12141,5.40e+00
42000,21000,2100000,0.00e+00,0.00e+00,1.80e+00,1.80e+00,16.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.80e+00,1.80e+00,0.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.80e+00,1.80e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,12432,5.40e+00
43000,21500,2150000,0.00e+00,0.00e+00,1.90e+00,1.90e+00,16.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.90e+00,1.90e+00,0.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.90e+00,1.90e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,12712,5.70e+00
44000,22000,2200000,0.00e+00,0.00e+00,1.60e+00,1.60e+00,12.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.60e+00,1.60e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.60e+00,1.60e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,13004,4.80e+00
45000,22500,2250000,0.00e+00,0.00e+00,1.93e+00,1.93e+00,18.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.93e+00,1.93e+00,2.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.93e+00,1.93e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,13295,5.80e+00
46000,23000,2300000,0.00e+00,0.00e+00,2.53e+00,2.53e+00,20.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.53e+00,2.53e+00,0.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.53e+00,2.53e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,13587,7.60e+00
47000,23500,2350000,0.00e+00,0.00e+00,2.13e+00,2.13e+00,18.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.13e+00,2.13e+00,0.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.13e+00,2.13e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,13879,6.40e+00
48000,24000,2400000,0.00e+00,0.00e+00,1.83e+00,1.83e+00,17.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.83e+00,1.83e+00,0.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.83e+00,1.83e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,14171,5.50e+00
49000,24500,2450000,0.00e+00,0.00e+00,2.37e+00,2.37e+00,17.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.37e+00,2.37e+00,1.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.37e+00,2.37e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,14467,7.10e+00
50000,25000,2500000,0.00e+00,0.00e+00,3.17e+00,3.17e+00,21.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,3.17e+00,3.17e+00,1.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,3.17e+00,3.17e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,14757,9.50e+00
