episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,time,reward_env_total
38000,19000,1900000,0.00e+00,0.00e+00,1.60e+01,1.60e+01,34.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.60e+01,1.60e+01,0.00,0.00e+00,0.00e+00,0.00e+00,7306,3.20e+01
39000,19500,1950000,0.00e+00,0.00e+00,1.49e+01,1.49e+01,33.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.49e+01,1.49e+01,0.00,0.00e+00,0.00e+00,0.00e+00,7505,2.99e+01
40000,20000,2000000,0.00e+00,0.00e+00,1.58e+01,1.58e+01,33.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.58e+01,1.58e+01,0.00,0.00e+00,0.00e+00,0.00e+00,7711,3.17e+01
41000,20500,2050000,0.00e+00,0.00e+00,1.58e+01,1.58e+01,33.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.58e+01,1.58e+01,0.00,0.00e+00,0.00e+00,0.00e+00,7909,3.17e+01
42000,21000,2100000,0.00e+00,0.00e+00,1.47e+01,1.47e+01,33.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.47e+01,1.47e+01,0.00,0.00e+00,0.00e+00,0.00e+00,8107,2.94e+01
43000,21500,2150000,0.00e+00,0.00e+00,1.49e+01,1.49e+01,33.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.49e+01,1.49e+01,0.00,0.00e+00,0.00e+00,0.00e+00,8305,2.99e+01
44000,22000,2200000,0.00e+00,0.00e+00,1.53e+01,1.53e+01,33.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.53e+01,1.53e+01,0.00,0.00e+00,0.00e+00,0.00e+00,8503,3.06e+01
45000,22500,2250000,0.00e+00,0.00e+00,1.58e+01,1.58e+01,33.80,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.58e+01,1.58e+01,0.00,0.00e+00,0.00e+00,0.00e+00,8711,3.15e+01
46000,23000,2300000,0.00e+00,0.00e+00,1.55e+01,1.55e+01,32.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+01,1.55e+01,0.00,0.00e+00,0.00e+00,0.00e+00,8909,3.10e+01
47000,23500,2350000,0.00e+00,0.00e+00,1.54e+01,1.54e+01,31.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.54e+01,1.54e+01,0.00,0.00e+00,0.00e+00,0.00e+00,9105,3.09e+01
48000,24000,2400000,0.00e+00,0.00e+00,1.61e+01,1.61e+01,36.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.61e+01,1.61e+01,0.00,0.00e+00,0.00e+00,0.00e+00,9298,3.23e+01
49000,24500,2450000,0.00e+00,0.00e+00,1.67e+01,1.67e+01,34.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.67e+01,1.67e+01,0.00,0.00e+00,0.00e+00,0.00e+00,9496,3.34e+01
50000,25000,2500000,0.00e+00,0.00e+00,1.63e+01,1.63e+01,33.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.63e+01,1.63e+01,0.00,0.00e+00,0.00e+00,0.00e+00,9682,3.26e+01
