episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_share_0
10600,10600,848000,0.000e+00,0.000e+00,-1.091e+00,-1.091e+00,3.065e-01,0.000e+00,0.000e+00,-1.087e+00,-1.087e+00,3.065e-01
10700,10700,856000,0.000e+00,0.000e+00,-1.085e+00,-1.085e+00,2.959e-01,0.000e+00,0.000e+00,-1.083e+00,-1.083e+00,2.959e-01
10800,10800,864000,0.000e+00,0.000e+00,-1.084e+00,-1.084e+00,2.613e-01,0.000e+00,0.000e+00,-1.082e+00,-1.082e+00,2.613e-01
10900,10900,872000,0.000e+00,0.000e+00,-1.078e+00,-1.078e+00,2.987e-01,0.000e+00,0.000e+00,-1.086e+00,-1.086e+00,2.987e-01
11000,11000,880000,0.000e+00,0.000e+00,-1.086e+00,-1.086e+00,3.240e-01,0.000e+00,0.000e+00,-1.079e+00,-1.079e+00,3.240e-01
11100,11100,888000,0.000e+00,0.000e+00,-1.078e+00,-1.078e+00,2.857e-01,0.000e+00,0.000e+00,-1.080e+00,-1.080e+00,2.857e-01
11200,11200,896000,0.000e+00,0.000e+00,-1.088e+00,-1.088e+00,2.955e-01,0.000e+00,0.000e+00,-1.075e+00,-1.075e+00,2.955e-01
11300,11300,904000,0.000e+00,0.000e+00,-1.081e+00,-1.081e+00,3.114e-01,0.000e+00,0.000e+00,-1.078e+00,-1.078e+00,3.114e-01
11400,11400,912000,0.000e+00,0.000e+00,-1.086e+00,-1.086e+00,2.871e-01,0.000e+00,0.000e+00,-1.081e+00,-1.081e+00,2.871e-01
11500,11500,920000,0.000e+00,0.000e+00,-1.090e+00,-1.090e+00,2.726e-01,0.000e+00,0.000e+00,-1.094e+00,-1.094e+00,2.726e-01
11600,11600,928000,0.000e+00,0.000e+00,-1.083e+00,-1.083e+00,3.273e-01,0.000e+00,0.000e+00,-1.086e+00,-1.086e+00,3.273e-01
11700,11700,936000,0.000e+00,0.000e+00,-1.082e+00,-1.082e+00,2.912e-01,0.000e+00,0.000e+00,-1.082e+00,-1.082e+00,2.912e-01
11800,11800,944000,0.000e+00,0.000e+00,-1.085e+00,-1.085e+00,3.038e-01,0.000e+00,0.000e+00,-1.084e+00,-1.084e+00,3.038e-01
11900,11900,952000,0.000e+00,0.000e+00,-1.093e+00,-1.093e+00,3.003e-01,0.000e+00,0.000e+00,-1.094e+00,-1.094e+00,3.003e-01
12000,12000,960000,0.000e+00,0.000e+00,-1.080e+00,-1.080e+00,3.661e-01,0.000e+00,0.000e+00,-1.064e+00,-1.064e+00,3.661e-01
12100,12100,968000,0.000e+00,0.000e+00,-1.083e+00,-1.083e+00,3.155e-01,0.000e+00,0.000e+00,-1.088e+00,-1.088e+00,3.155e-01
12200,12200,976000,0.000e+00,0.000e+00,-1.095e+00,-1.095e+00,3.340e-01,0.000e+00,0.000e+00,-1.081e+00,-1.081e+00,3.340e-01
12300,12300,984000,0.000e+00,0.000e+00,-1.086e+00,-1.086e+00,3.527e-01,0.000e+00,0.000e+00,-1.082e+00,-1.082e+00,3.527e-01
12400,12400,992000,0.000e+00,0.000e+00,-1.081e+00,-1.081e+00,3.543e-01,0.000e+00,0.000e+00,-1.088e+00,-1.088e+00,3.543e-01
12500,12500,1000000,0.000e+00,0.000e+00,-1.094e+00,-1.094e+00,3.784e-01,0.000e+00,0.000e+00,-1.089e+00,-1.089e+00,3.784e-01
12600,12600,1008000,0.000e+00,0.000e+00,-1.101e+00,-1.101e+00,3.469e-01,0.000e+00,0.000e+00,-1.104e+00,-1.104e+00,3.469e-01
12700,12700,1016000,0.000e+00,0.000e+00,-1.098e+00,-1.098e+00,3.812e-01,0.000e+00,0.000e+00,-1.092e+00,-1.092e+00,3.812e-01
12800,12800,1024000,0.000e+00,0.000e+00,-1.093e+00,-1.093e+00,4.032e-01,0.000e+00,0.000e+00,-1.101e+00,-1.101e+00,4.032e-01
12900,12900,1032000,0.000e+00,0.000e+00,-1.094e+00,-1.094e+00,4.149e-01,0.000e+00,0.000e+00,-1.095e+00,-1.095e+00,4.149e-01
13000,13000,1040000,0.000e+00,0.000e+00,-1.097e+00,-1.097e+00,4.401e-01,0.000e+00,0.000e+00,-1.089e+00,-1.089e+00,4.401e-01
13100,13100,1048000,0.000e+00,0.000e+00,-1.099e+00,-1.099e+00,4.097e-01,0.000e+00,0.000e+00,-1.092e+00,-1.092e+00,4.097e-01
13200,13200,1056000,0.000e+00,0.000e+00,-1.103e+00,-1.103e+00,3.495e-01,0.000e+00,0.000e+00,-1.105e+00,-1.105e+00,3.495e-01
13300,13300,1064000,0.000e+00,0.000e+00,-1.088e+00,-1.088e+00,4.380e-01,0.000e+00,0.000e+00,-1.088e+00,-1.088e+00,4.380e-01
13400,13400,1072000,0.000e+00,0.000e+00,-1.092e+00,-1.092e+00,4.533e-01,0.000e+00,0.000e+00,-1.081e+00,-1.081e+00,4.533e-01
13500,13500,1080000,0.000e+00,0.000e+00,-1.095e+00,-1.095e+00,4.679e-01,0.000e+00,0.000e+00,-1.092e+00,-1.092e+00,4.679e-01
