,run,episode,$m$,$n$,$\theta^1$,$\theta^2$,Price $m$,Price $n$,acc_rewards
28,1.0,28.0,0.5,0.5,0.3840000000000002,0.3840000000000002,-8.080000000000002,-8.080000000000002,-3.0
29,1.0,29.0,0.5,0.5,0.43400000000000016,0.43400000000000016,-7.830000000000001,-7.830000000000001,-4.0
30,1.0,30.0,0.5,0.5,0.48400000000000015,0.48400000000000015,-7.579999999999999,-7.579999999999999,-4.0
31,1.0,31.0,0.5,0.5,0.5340000000000001,0.5340000000000001,-7.330000000000001,-7.330000000000001,-2.0
32,1.0,32.0,0.5,0.5,0.5840000000000002,0.5840000000000002,-7.080000000000001,-7.080000000000001,-4.0
33,1.0,33.0,0.5,0.5,0.6340000000000002,0.6340000000000002,-6.830000000000001,-6.830000000000001,-2.0
34,1.0,34.0,0.5,0.5,0.6840000000000003,0.6840000000000003,-6.579999999999999,-6.579999999999999,-2.0
35,1.0,35.0,0.5,0.5,0.7340000000000003,0.7340000000000003,-6.329999999999999,-6.329999999999999,-2.0
36,1.0,36.0,0.5,0.5,0.7840000000000004,0.7840000000000004,-6.079999999999998,-6.079999999999998,-2.0
37,1.0,37.0,0.5,0.5,0.8340000000000004,0.8340000000000004,-5.829999999999999,-5.829999999999999,-3.0
38,1.0,38.0,0.5,0.5,0.8840000000000005,0.8840000000000005,-5.579999999999999,-5.579999999999999,-2.0
39,1.0,39.0,0.5,0.5,0.9340000000000005,0.9340000000000005,-5.329999999999998,-5.329999999999998,-3.0
40,1.0,40.0,0.5,0.5,0.9840000000000005,0.9840000000000005,-5.079999999999999,-5.079999999999999,-3.0
41,1.0,41.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-3.0
42,1.0,42.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-2.0
43,1.0,43.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-2.0
44,1.0,44.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-2.0
45,1.0,45.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-2.0
46,1.0,46.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-2.0
47,1.0,47.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-2.0
48,1.0,48.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-2.0
49,1.0,49.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-2.0
50,1.0,50.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-2.0
51,1.0,51.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-2.0
52,1.0,52.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-2.0
53,1.0,53.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-2.0
54,1.0,54.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-2.0
55,1.0,55.0,0.5,0.5,1.0,1.0,-5.000000000000001,-5.000000000000001,-2.0
